prodi,kode_mk,nama mata kuliah,semester mk,sks,metode
Administrasi Publik,MWU60102,Pancasila,Ganjil 2024/2025,2,Biasa
Administrasi Publik,MWU60103,Kewarganegaraan,Ganjil 2024/2025,2,Biasa
Administrasi Publik,ISF61101,Dasar-Dasar Ilmu Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61102,Dasar-Dasar Ilmu Politik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61103,Dasar-Dasar Logika,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61104,Bahasa Inggris,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61101,Pengantar Administrasi Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61102,Azaz-Azaz Manajemen,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61108,Dasar-Dasar Penelitian Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61127,Pendidikan Anti Korupsi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61106,Hukum Administrasi Negara,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61107,Kepemimpinan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61109,Manajemen Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61110,Kebijakan Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61111,Administrasi Pembangunan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61228,Administrasi Negara Dan Teori Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61229,Pembangunan Kelembagaan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61240,Komunikasi Organisasi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61250,Administrasi Pemerintahan Desa & Nagari,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61231,Perbandingan Ilmu Administrasi Negara,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61119,Analisis Kebijakan Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61120,Reformasi Administrasi Dan Governance,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61121,Metode Penelitian Administrasi  Kualitatif,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61122,Metode Penelitian Administrasi  Kuantitatif,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61126,Komunikasi Dan Advokasi Kebijakan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61112,Governansi Digital,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61108,Etika Administrasi Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN1243,Isu Dan Kebijakan Desentralisasi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61236,Manajemen Krisis,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61237,Manajemen Konflik Dan Negosiasi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61248,Kebijakan Dan Manajemen Sistem Kesehatan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61248,Manajemen Bencana,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61234,Manajemen Aset,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61249,Analisis Mengenai Dampak Lingkungan Dan Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,AND60102,Kewirausahaan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF61101,Dasar-Dasar Ilmu Sosial,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF61102,Dasar-Dasar Ilmu Politik,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF61103,Dasar-Dasar Logika,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61102,Antropologi Ragawi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF61104,Bahasa Inggris,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61101,Pengantar Antropologi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61105,Antropologi Hukum,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61106,Organisasi Sosial  & Sistem Kekerabatan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61107,Teori Antropologi Klasik,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61108,Kesukubangsaan Dan Multikulturalisme,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61109,Metode Penelitian Kualitatif 1,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61110,Antropologi Perkotaan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61111,Antropologi Ekologi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61112,Antropologi Psikologi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61121,Antropologi Kesehatan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61122,Antropologi Kebijakan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61126,Membaca Dan Menulis Etnografi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61124,Pemberdayaan Masyarakat,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61123,Antropologi Digital,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61125,Antropologi Pembangunan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,AND60102,Kewirausahaan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60217,Antropologi Pendidikan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60201,Bahasa Inggris 2,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60209,Antropologi Maritim,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60215,Antropologi Pariwisata,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60204,Antropologi Visual,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60210",Antropologi Seni,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60214",Antropologi Dan Kuliner,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60202",Antropologi Arsitektur,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA60207,Masalah Sosial Dan Budaya,Ganjil 2024/2025,3,Biasa
