prodi,kode_mk,nama_mata_kuliah,semester_mk,sks,metode
Administrasi Publik,MWU60102,Pancasila,Ganjil 2024/2025,2,Biasa
Administrasi Publik,MWU60103,Kewarganegaraan,Ganjil 2024/2025,2,Biasa
Administrasi Publik,ISF61101,Dasar-Dasar Ilmu Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61102,Dasar-Dasar Ilmu Politik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61103,Dasar-Dasar Logika,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61104,Bahasa Inggris,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61101,Pengantar Administrasi Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61102,Azaz-Azaz Manajemen,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISF61108,Dasar-dasar Penelitian Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61127,Pendidikan Anti Korupsi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61106,Hukum Administrasi Negara,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61107,Kepemimpinan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61109,Manajemen Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61110,Kebijakan Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61111,Administrasi Pembangunan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61228,Administrasi Negara dan Teori Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61229,Pembangunan Kelembagaan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61240,Komunikasi Organisasi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61250,Administrasi Pemerintahan Desa & Nagari,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61231,Perbandingan Ilmu Administrasi Negara,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61119,Analisis Kebijakan Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61120,Reformasi Administrasi dan Governance,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61121,Metode Penelitian Administrasi  Kualitatif,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61122,Metode Penelitian Administrasi  Kuantitatif ,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61126,Komunikasi dan Advokasi Kebijakan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61112,Governansi Digital,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61108,Etika Administrasi Publik,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN1243,Isu dan Kebijakan Desentralisasi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61236,Manajemen Krisis,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61237,Manajemen Konflik dan Negosiasi,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61248,Kebijakan dan Manajemen Sistem Kesehatan,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61248,Manajemen Bencana,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61234,Manajemen Aset,Ganjil 2024/2025,3,Biasa
Administrasi Publik,ISN61249,Analisis Mengenai Dampak Lingkungan dan Sosial,Ganjil 2024/2025,3,Biasa
Administrasi Publik,AND60102,Kewirausahaan ,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF 61101,Dasar-Dasar Ilmu Sosial,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF 61102,Dasar-Dasar Ilmu Politik,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF 61103,Dasar-Dasar Logika ,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 61102,Antropologi Ragawi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISF 61104,Bahasa Inggris,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 61101,Pengantar Antropologi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 61105,Antropologi Hukum,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 61106,Organisasi Sosial  & Sistem Kekerabatan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 61107,Teori Antropologi Klasik,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61108,Kesukubangsaan dan Multikulturalisme,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61109,Metode Penelitian Kualitatif 1,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 61110,Antropologi Perkotaan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61111,Antropologi Ekologi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61112,Antropologi Psikologi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61121,Antropologi Kesehatan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61122,Antropologi Kebijakan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61126,Membaca dan Menulis Etnografi,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61124,Pemberdayaan Masyarakat,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61123,Antropologi Digital,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA61125,Antropologi Pembangunan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,AND60102,Kewirausahaan ,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60217,Antropologi Pendidikan,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60201,Bahasa Inggris 2,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60209,Antropologi Maritim,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60215,Antropologi Pariwisata,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60204,Antropologi Visual,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60210",Antropologi Seni,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60214",Antropologi dan Kuliner,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,"ISA
60202",Antropologi Arsitektur,Ganjil 2024/2025,3,Biasa
Antropologi Sosial,ISA 60207,Masalah Sosial dan Budaya,Ganjil 2024/2025,3,Biasa
